Date,Session,Attendance,Notes,
2017-01-11,Intro Git,9,3 physics 2 biomed engineering 1 undergrad math 1 psychology 1 banker and Luke,
2017-01-18,Intro Python,13,5 physics 3 psychology 1 CSB 1 neuroscience 1 biomed engineering 1 banker 1 political science,
2017-01-25,Coworking,6,3 physics 2 neuroscience 1 CSB,
2017-02-01,Code Review,7,4 physics 2 neuroscience 1 nutrition,
2017-02-08,Coworking,10,3 physics 2 physiology 1 IBBME 1 molecular genetics 3 misc,
2017-02-15,ggplot2,11,2 physics 1 neuroscience 2 physiology 1 psychology 1 CSB 1 IBBME 1 CS 2 misc,
2017-02-22,Collaborative Github,6,2 physics 1 psychology 2 neuroscience 1 computer science,
2017-03-01,Working Open,9,3 physics 1 neuroscience 1 IBBME 1 nutrition 1 math 2 misc,
2017-03-08,Lightning Demos: Data Visualization,11,3 physics 2 physiology 1 IBBME 1 pharmacology 1 psychology 1 csb 2 misc,
2017-03-15,Intro SQL,12,2 physics 1 banker 1 museum studies 1 physiology 1 radiation science 1 political science 1 nutritional science 2 neuroscience 1 medical communications 1 misc,
2017-03-29,Intermediate R,18,1 banker 2 CSB 1 IBBME 1 neuroscience 2 molecular genetics 2 nutritional sciences 2 physiology 3 psychology 1 physics 1 radiation science 2 misc,
2017-04-05,Intermediate Python,
2017-04-12,Lightning Demos: Academic Workflows, 
2017-04-19,Coworking,6,1 molecular genetics 1 neuroscience 1 physics 1 physiology 1 nutritional science 1 csb,
